recorded_at,tx_hash,asset_id,market,outcome,side,size,price
2025-12-24T13:13:47.188925+00:00,0x71f6d13302302f20631bf3299a4b9c6465f552206c43d045fc26590cc4f7539b,70556821523425034122920793682817588144921171172900861392430883970634505453723,,Up,buy,15,0.37
2025-12-24T13:13:47.188961+00:00,0x80b13d35af20814a6754f03dd840be9530f86eafd0fd5673083cc388de0d5282,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,22,0.95
2025-12-24T13:13:47.188997+00:00,0xebe206d85b9db215ff6facb81d0bd323216e9caafab7b32f2a79f882eb97d6f2,70556821523425034122920793682817588144921171172900861392430883970634505453723,,Up,buy,22,0.38
2025-12-24T13:13:47.189032+00:00,0x62b496a12dc7b6ac357b26aeb4b9479cb9053c2923c26683ba6850469b025e53,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,22,0.95
2025-12-24T13:13:47.189068+00:00,0x26011689699132155d00fb23787035bfb48c1804f498568831bce638a4461f03,70556821523425034122920793682817588144921171172900861392430883970634505453723,,Up,buy,22,0.38
2025-12-24T13:13:47.189103+00:00,0x928306ee3006e8d98b9c643c74fc278743024d6e77fd718ac4039d3fa20eaa05,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,22,0.95
2025-12-24T13:13:47.189139+00:00,0x7d9f7374e0b898a6392be118caf97265b70bd8fe8b12cc40c7df94f455f3185b,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,22,0.93
2025-12-24T13:13:47.189174+00:00,0x0a00d63686a66a47a4812269fb5c7b4b475f1d8b278b74415094ca0b67d55886,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,22,0.9395
2025-12-24T13:13:47.189210+00:00,0x7e54c4baaece4e8396474a9556c06dc667cd852a56f3a87db84d1c626c7783aa,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,22,0.93
2025-12-24T13:13:47.189245+00:00,0x74cbc3654aab33e43499cd1695641b02e34dfbafc01adf1e29698649ec110ac8,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,22,0.93
2025-12-24T13:13:47.189281+00:00,0x3df4093b1672d47b6e0bd56e061f3b9f04337acbca78bd4736b01b9f1f81b5c2,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,22,0.94
2025-12-24T13:13:47.189317+00:00,0x2d19c16e4dbd3adda1d9b2c0882e93e15b2ef94be113f98dbe5e6522bb413acc,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,22,0.93
2025-12-24T13:13:47.189353+00:00,0x507f1751a213327395bbc9199869e6a9d475c847c4ae65d16fbcc8a8573bdcad,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,22,0.88
2025-12-24T13:13:47.189388+00:00,0x564516f244f1691588d34586d4d48f435358f132df90c6a6cfecf1435e5d8449,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,22,0.88
2025-12-24T13:13:47.189427+00:00,0x4ac4529a79f2b183f017a2b739dc4660504aaa15bbdc325db85d62419b932440,59523542519371967471782044998057198139651955401985114887505784195757820081863,,Down,buy,22,0.88
2025-12-24T13:13:47.189463+00:00,0xa7d3bec3a828a9207ec5c2574af8aa956253387125164ff7bc3d0cf510f6f492,55791127387894991495647773577557657062519416327423065717239833358909110657454,,Up,buy,23,0.1
2025-12-24T13:13:47.189500+00:00,0xdc025d19ea6cacb3b4a7f9bf6f5734abc4ea1b6925af36ae0147acfffad70fbc,55791127387894991495647773577557657062519416327423065717239833358909110657454,,Up,buy,23,0.1
2025-12-24T13:13:47.189536+00:00,0x570db647036c1e221d93b56cdfe318be53f9178cac9446512fe2e745652311a0,55791127387894991495647773577557657062519416327423065717239833358909110657454,,Up,buy,23,0.1
