recorded_at,asset_id,market,outcome,size,average_price
2025-12-25T13:28:11.598275+00:00,106358296535286645329082082484245017512547374055312635501864504709344666877547,bitcoin-up-or-down-december-25-8am-et,Up,582.4157,0.2776
2025-12-25T13:28:11.598325+00:00,65710499515953451417076369718487159689052065771764519617366874622385946022607,eth-updown-15m-1766668500,Down,557.4445,0.8741
2025-12-25T13:28:11.598370+00:00,68825189449014425878648330257044825489321485308654525084635818516545921569026,eth-updown-15m-1766668500,Up,493.8806,0.0925
2025-12-25T13:28:11.598415+00:00,54499155716463163102757404105184372309711577918309928705401947781844800391763,ethereum-up-or-down-december-25-8am-et,Up,136.3,0.1577
2025-12-25T13:28:11.598463+00:00,51813369452569728392735492198059706952541539163581343105301653040574904494288,ethereum-up-or-down-december-25-8am-et,Down,118.1136,0.8318
2025-12-25T13:28:11.598516+00:00,40228636468798029886781214080295540620967135476730433141024419442446656833930,bitcoin-up-or-down-december-25-7am-et,Down,62.4698,0.3868
2025-12-25T13:28:11.598560+00:00,13820179399175414202560661677393751516972519909450737551269889155980848516706,ethereum-up-or-down-december-25-7am-et,Down,25.5758,0.2453
2025-12-25T13:28:47.669714+00:00,32450259705401973788800494983214512479337071749459935457987596372290401245156,btc-updown-15m-1766668500,Down,2807.2147,0.9065
2025-12-25T13:28:47.669884+00:00,106358296535286645329082082484245017512547374055312635501864504709344666877547,bitcoin-up-or-down-december-25-8am-et,Up,662.5749,0.2816
2025-12-25T13:28:47.669996+00:00,51813369452569728392735492198059706952541539163581343105301653040574904494288,ethereum-up-or-down-december-25-8am-et,Down,188.1136,0.805
